,,,,,,Round (Common rounds are highlighted in grey),30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
73,question_panel,D7.PANEL,,Common,,,"D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]","D7_C. PANEL MEMBERS: [IF THE NEW CATEGORY DIFFERS SIGNIFICANTLY (I.E. BY MORE THAN ONE CATEGORY) FROM THE PREVIOUS WAVE, ASK THE FOLLOWING QUESTION.]
The last time your enterprise was interviewed, the share of total turnover accounted for by exports was <STATE ANSWER FROM PREVIOUS WAVE>. Can you confirm that it is now <STATE ANSWER FROM CURRENT WAVE>? [READ IF NECESSARY: If not, what is the correct number?]",,,,,,,,,,,
74,answer,D7,1,Common,,,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,- 0% – my enterprise did not export any goods and services last year,,,,,,,,,,
75,answer,D7,2,Common,,,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- less than 25%,- Less than 25%,,,,,,,,,,
76,answer,D7,3,Common,,,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- between 25% and 50%,- Between 25% and 50%,,,,,,,,,,
77,answer,D7,4,Common,,,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- over 50%,- Over 50%,,,,,,,,,,
78,answer,D7,9,Common,,,- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],- [DK],,,,,,,,,,
79,question,D5,,Common,,,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your enterprise first registered?,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*,D5. In which year was your firm registered?*
80,question def.,D5,,Common,,,"In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","In the case of a past acquisition, please refer to the year when the acquiring enterprise was registered or, in the case of a merger, to the largest enterprise involved (in terms of employees)","IN CASE OF A PAST ACQUISITION, PLEASE REFER TO THE YEAR WHEN THE ACQUIRING ENTERPRISE WAS REGISTERED OR, IN CASE OF A MERGER, TO THE LARGEST ENTERPRISE INVOLVED (IN TERMS OF EMPLOYEES)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)","In case of a past acquisition, please refer to the year when the acquiring company was registered, or, in case of a merger, of the largest company involved (in terms of employees)"
81,question_panel,D5.PANEL,,Common,,,"D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]","D5. PANEL MEMBERS: Can you please confirm that your enterprise was registered in <STATE ANSWER FROM PREVIOUS WAVE>? [READ IF NECESSARY: If not, what is the correct year?]",,,,,,,,,,,
82,answer,D5,1,Common,,,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- 10 years or more,- More than 10 years
83,answer,D5,2,Common,,,"- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years","- 5 years or more, but less than 10 years"
84,answer,D5,3,Common,,,"- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years","- 2 years or more, but less than 5 years"
85,answer,D5,4,Common,,,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years,- Less than 2 years
86,answer,D5,9,Common,,,- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA]
87,question,Q0,,Common,,See the note to Q0b,,,,,,,,,,,,,,,,,,,,,,,,Q0a. What is currently the most pressing problem your firm is facing?,Q0a. What is currently the most pressing problem your firm is facing?,Q0. What is currently the most pressing problem your firm is facing?,Q0. What is currently the most pressing problem your firm is facing?,Q0. What is currently the most pressing problem your firm is facing?,Q0. What is currently the most pressing problem your firm is facing?,
88,answer,Q0,1,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- Finding customers,- Finding customers,- Finding customers,- Finding customers,- Finding customers,- Finding customers,- Finding customers
89,answer,Q0,2,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- Competition,- Competition,- Competition,- Competition,- Competition,- Competition,- Competition
90,answer,Q0,3,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- Access to finance,- Access to finance,- Access to finance,- Access to finance,- Access to finance,- Access to finance,- Access to finance
91,answer def.,Q0,3,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,"FINANCING OF YOUR FIRM – BANK LOANS, TRADE CREDIT, EQUITY, DEBT SECURITIES, OTHER EXTERNAL FINANCING","FINANCING OF YOUR FIRM – BANK LOANS, TRADE CREDIT, EQUITY, DEBT SECURITIES, OTHER EXTERNAL FINANCING","FINANCING OF YOUR FIRM – BANK LOANS, TRADE CREDIT, EQUITY, DEBT SECURITIES, OTHER EXTERNAL FINANCING","FINANCING OF YOUR FIRM – BANK LOANS, TRADE CREDIT, EQUITY, DEBT SECURITIES, OTHER EXTERNAL FINANCING","FINANCING OF YOUR FIRM – BANK LOANS, TRADE CREDIT, EQUITY, DEBT SECURITIES, OTHER EXTERNAL FINANCING","FINANCING OF YOUR FIRM – BANK LOANS, TRADE CREDIT, EQUITY, DEBT SECURITIES, OTHER EXTERNAL FINANCING",
92,answer,Q0,4,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- Costs of production or labour,- Costs of production or labour,- Costs of production or labour,- Costs of production or labour,- Costs of production or labour,- Costs of production or labour,- Costs of production or labour
93,answer,Q0,5,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- Availability of skilled staff or experienced managers,- Availability of skilled staff or experienced managers,- Availability of skilled staff or experienced managers,- Availability of skilled staff or experienced managers,- Availability of skilled staff or experienced managers,- Availability of skilled staff or experienced managers,- Availability of skilled staff or experienced managers
94,answer,Q0,6,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- Regulation,- Regulation,- Regulation,- Regulation,- Regulation,- Regulation,- Regulation
95,answer def.,Q0,6,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,"EUROPEAN AND NATIONAL LAWS, INDUSTRIAL REGULATIONS, ETC.","EUROPEAN AND NATIONAL LAWS, INDUSTRIAL REGULATIONS, ETC.","EUROPEAN AND NATIONAL LAWS, INDUSTRIAL REGULATIONS, ETC.","EUROPEAN AND NATIONAL LAWS, INDUSTRIAL REGULATIONS, ETC.","EUROPEAN AND NATIONAL LAWS, INDUSTRIAL REGULATIONS, ETC.","EUROPEAN AND NATIONAL LAWS, INDUSTRIAL REGULATIONS, ETC.","EUROPEAN AND NATIONAL LAWS, INDUSTRIAL REGULATIONS, ETC."
96,answer,Q0,7,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- Other,- Other,- Other,- Other,- Other,- Other,- Other
97,answer,Q0,9,"EC in round 1, afterwards Common",,,,,,,,,,,,,,,,,,,,,,,,,,- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA],- [DK/NA]
